class,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,x21,y21,z21,x22,y22,z22,x23,y23,z23,x24,y24,z24,x25,y25,z25,x26,y26,z26,x27,y27,z27,x28,y28,z28,x29,y29,z29,x30,y30,z30,x31,y31,z31,x32,y32,z32,x33,y33,z33
left_bicep,0.11978921097842223,-1.94035042007177,-1.1424623332256245,0.16632127543203448,-2.0188709667958227,-1.0255537237467303,0.19184980180770508,-2.0155736896101852,-1.0259907422888326,0.21500692978582564,-2.0114055444319465,-1.0262008919775738,0.09045978687739355,-2.0239173622607676,-1.0114444375673755,0.06547711573891792,-2.024037437530477,-1.011109040047853,0.042899355762533314,-2.0235635107150016,-1.0110959026294737,0.25041829385282943,-1.9616164737653905,-0.2871471808009358,0.018969692839785793,-1.9774691044632255,-0.22519631955560437,0.1654481047693363,-1.8383992706231875,-0.8618452125751662,0.07274299837666118,-1.8474086952332933,-0.8464473779814642,0.41222375075626366,-1.426988173401059,-0.021000940815251803,-0.15824556034605353,-1.4048023527454043,0.32293620404182327,0.35777417690849994,-0.7331693675666181,-0.8977163739269396,-0.23737932391404404,-0.672237272161569,0.4884458607113065,0.24510746409842527,-1.390946634397102,-2.2987576926782065,-0.25534624884703055,-0.030798251662428534,-0.06827126595179005,0.21972945315424242,-1.5518612389779685,-2.632366097418,-0.2769912082723594,0.1641735959286994,-0.21506284593370195,0.24950930387699696,-1.5953280358285333,-2.58797835769622,-0.24313686949794625,0.16847879408963745,-0.4116913780097531,0.248236436365776,-1.543165440669944,-2.3182662222185013,-0.22312483502078173,0.10979346962590954,-0.157400591528179,0.22312483502078173,-0.10979346962590954,0.157400591528179,-0.08817202802685048,-0.1064210411579298,0.3231656227993488,0.1986099095986782,0.829004052732561,0.20010186899784263,-0.10779039097232637,0.8304487971734911,0.47073772936531477,0.16165069699973186,1.7052801664681827,1.599529387721347,-0.04899570909172115,1.720727990141577,1.785102786499284,0.1491221973796814,1.795313037658683,1.7011361880364029,-0.018175098806693338,1.8233437563627113,1.8723668230412365,0.15602589622866642,2.0272395205746716,0.879169852524423,-0.10032062374271684,2.017014699181237,1.0705059706341538
left_shoulder,0.08128242928847282,-1.8460705282643557,-0.7850627015816181,0.11444398188873638,-1.9157625716673847,-0.6708020771034473,0.13168139372040055,-1.9130955262575136,-0.670912461577686,0.1503965060196213,-1.9097947513655102,-0.6704411450677771,0.046600055057748405,-1.9196673711778238,-0.6976951628241904,0.018713459819313355,-1.9183454662122086,-0.697339798856477,-0.007217204117285621,-1.915830281347315,-0.6971214897991456,0.16828577875279158,-1.8645881174132801,1.899574083310217e-05,-0.04694367266025784,-1.8678866209226754,-0.12107444237609002,0.11427819667172698,-1.7497848234497264,-0.5413496329490721,0.025566392363724433,-1.7525503170992875,-0.5739218815769405,0.3271612627884911,-1.4066818017693286,0.313515123740734,-0.22538516985171123,-1.3294237633526613,0.033967766816292926,0.5859658196049065,-1.399545012328252,-0.6571942226086265,-0.2707377666648058,-0.6483093166294649,-0.16225109298226084,0.8340647161761072,-1.484778627077712,-2.3730120788795985,-0.26011887962136093,-0.018850406413696227,-0.5502447046691245,0.938767283584453,-1.4801414777877338,-2.7222804917534775,-0.27236363988266155,0.17717088497785255,-0.6882989296964632,0.9047788205531706,-1.4902806855326771,-2.816074872942033,-0.22291702946810418,0.17066225282368722,-0.857660754140809,0.8619669762735281,-1.4819087797002677,-2.467299122561127,-0.2026390298486773,0.10826329902341249,-0.6147926484162516,0.2026390298486773,-0.10826329902341249,0.6147926484162516,-0.09482219141781069,-0.10705871691793542,0.33011846057395405,0.16306780933530599,0.7086509021901192,0.8989726635779719,-0.14619114063199237,0.7349487981518684,0.4555017464834366,0.11920614530228239,1.5319455322975803,1.8333177082675252,-0.12187389271369602,1.5682330950346617,1.3675252545011156,0.07359023752893709,1.631767453122795,1.8862084281688414,-0.12910374520192558,1.6641186799494159,1.4197879769992374,0.25338814413869387,1.8528940967084593,1.2433770817727234,-0.043116257987582306,1.8336538727804808,0.7003869624942579
left_tricep,0.08943919017787474,-1.5624005355167687,-1.5176933634960175,0.12261713364011877,-1.6282844316512421,-1.389762876927943,0.1401938648257556,-1.6268369831496055,-1.3896434327375697,0.1576293123810249,-1.6249225510483392,-1.3894423783764707,0.06495253822457403,-1.6287607449188126,-1.412984315287872,0.043271656891228874,-1.627795189780735,-1.4132539352918319,0.022359412811334165,-1.6261316996745365,-1.4133775450768837,0.18247186293584297,-1.588151493709789,-0.6515263553221418,-0.004868073524693817,-1.5910123084469956,-0.7673910328077963,0.1193193849933612,-1.4849080273531707,-1.2427953622694035,0.04652483006221257,-1.4894126507512415,-1.2745720493992165,0.29180196999120406,-1.31016188139765,-0.32316002643085806,-0.15859659165356355,-1.0885811394894478,-0.2504998460443978,0.3445839694518549,-1.9145870190788226,-0.3561792209415079,-0.2221341284301003,-0.48007450177367356,0.12178332759823973,-0.04192511240968295,-2.016402118450394,-0.30961057154985244,-0.22593244350276537,0.018594664579998775,-0.0806549212359192,-0.13183779026009887,-1.996924705230479,-0.4849425103402609,-0.2420069790772367,0.19269605694849393,-0.189790424818031,-0.14754766438237063,-1.993621499094434,-0.4534044897299815,-0.21760091369831333,0.19175344421071006,-0.3738159611829147,-0.1266214952000694,-1.9843210062653882,-0.3278580549417391,-0.20032440893499068,0.1394253464014766,-0.15080478195136945,0.20032440893499068,-0.1394253464014766,0.15080478195136945,-0.06722931038422575,-0.13555732924493882,0.17113723062315916,0.18049311943108093,0.6220306911432615,0.17914489699849498,-0.06754115878783758,0.6394507175453602,0.2753946267440428,0.15447578605019452,1.3599954604379982,1.1869614298468107,-0.018253624422372827,1.4189375383616356,1.289842936152724,0.1298264383500932,1.4232544946619883,1.256137337832588,-0.005925265848810307,1.494754038445154,1.35880825866003,0.1832845079728315,1.6706530287384094,0.5537121658648878,-0.01907554934701623,1.6946003076974776,0.6022849975358086
rest,0.08104891293903804,-1.574110801276617,-1.1292640576383937,0.11589636318077064,-1.6365836610074482,-1.0378197281177357,0.13563930246325154,-1.6339993743022334,-1.0379845788671773,0.15328258471910367,-1.6308175064835349,-1.0378496416491096,0.05245318325143712,-1.637999720529835,-1.0465053385853638,0.031195660860340455,-1.636400501225666,-1.0466171921830953,0.012524538848995938,-1.6337494573379785,-1.0467705011300843,0.17853412191708323,-1.590026390329514,-0.44742620356391055,-0.009533303682083145,-1.5897675555289146,-0.4931554830180243,0.11863254688788229,-1.4879023692467122,-0.906281882813638,0.040906534215281454,-1.4885644682273829,-0.9193504553811739,0.3339183125166411,-1.1226866526333243,-0.036994914877184724,-0.16770703613593052,-1.1118008566464561,-0.14139033788981706,0.3568946261801463,-0.5712986437683741,0.21619537904731873,-0.19003230399485027,-0.5281778445632488,0.05005558951498714,0.33639377046620356,-0.025087515999522123,-0.3344464840569412,-0.22245672642603245,-0.01517990233658865,-0.43725809569910445,0.34561506249927687,0.1130909870021375,-0.49895048443678514,-0.23959182814847965,0.13766777472788574,-0.6127361973720902,0.3130820425978358,0.11173459189320865,-0.6760572294749605,-0.2095848645674887,0.13501631565664596,-0.7870496222254332,0.29923629277289726,0.07080653697110176,-0.4137877847607178,-0.1919071042144363,0.08787251734024741,-0.5160626257183123,0.19190710421443627,-0.08787251734024741,0.5160626257183123,-0.07388513126114418,-0.09492736846249623,0.44697735536985594,0.1790263602696132,0.6189169928446853,0.5626939515970556,-0.09073600222997674,0.6309385209571207,0.4807871946832742,0.14199965032597006,1.3055387827452454,1.5949559442968366,-0.042955079181553106,1.316805053557615,1.4222217805248638,0.12168307054635426,1.371208482089514,1.6588930753909894,-0.03639124916012664,1.3897451811471677,1.478348466177143,0.18398938476917648,1.5607384448205142,1.0116576780885733,-0.051544827104492145,1.5607960058779344,0.7937846334411969
right_bicep,0.024564605834003578,-0.8961807729881671,-0.3117128908778196,0.054926636112995586,-0.9673066127756521,-0.217789162492017,0.0741652164568234,-0.966934623048968,-0.21790524316692486,0.09234090451246874,-0.9658131015369893,-0.2178464885161539,-0.004893563113073237,-0.9663830757146269,-0.22360253845716563,-0.025821092265842265,-0.965403687921333,-0.22376493638828512,-0.04646890074721733,-0.9632499944343877,-0.22371319894087213,0.11764703174287401,-0.9302043217773738,0.40749787640922397,-0.0725133153420038,-0.9269042008688132,0.37886230314931574,0.05864894563247446,-0.8145330321439801,-0.07091485172133623,-0.013318438965982832,-0.8118900292535972,-0.08014260308816801,0.2607639093913668,-0.47750712525761735,0.8030340961720929,-0.20951511761866165,-0.49008800675286934,0.708899173142541,0.2860149989663165,0.08196436357855673,0.9976530368733055,-0.24052425128184726,0.07943196493141473,0.058344175191845024,0.2413599006334162,0.6273477961668226,0.7190183244673093,-0.1365042586709296,-0.4412867216278562,-1.1190180838155872,0.24420469707692433,0.7857701696398531,0.6241156279310902,-0.11460452692626262,-0.5715343201447891,-1.3629512351058388,0.20689874805342828,0.7829203489654107,0.5016246260869094,-0.12367269928661946,-0.6148919271580106,-1.3731300874226833,0.19664343964781694,0.7360596925542117,0.6733305373936748,-0.12542622929201191,-0.5771034051961618,-1.1502145901830487,0.12542622929201191,0.5771034051961618,1.1502145901830487,-0.11638861091361374,0.5698905899732145,1.0439509124876734,0.10251075022578984,1.3097732965171542,1.1442252496565164,-0.12724967940088505,1.3247063401308805,1.0947059620394066,0.06579417064941419,2.030011082330768,2.1615817540472864,-0.08642963807539854,2.0482182920793672,1.9969115358161165,0.040782064754265594,2.1131128169885485,2.2205763184380785,-0.07957358094163235,2.140849963357178,2.0518008269417756,0.10786287953294393,2.2944722157871587,1.5707962462487992,-0.06840703139187938,2.2905354179547897,1.3652531637488265
right_shoulder,0.6101894727562722,-1.5202408087344481,-0.9460977439260578,0.6667998190667201,-1.6151080272791616,-0.8483399877896047,0.7028431326215705,-1.610966503226869,-0.8488029683047656,0.7386418554500374,-1.6049800947626685,-0.8490314206004105,0.5742657770272379,-1.616200901769762,-0.7404904705859836,0.5487722694933381,-1.6129120850485374,-0.7405246520785986,0.526556152488288,-1.6088012617170666,-0.7403291011864248,0.8032413964987813,-1.5274869424987807,-0.0922258491323261,0.510283792418427,-1.5278293588893341,0.3639260011248408,0.6821015046406285,-1.3698400168314648,-0.6614611098905377,0.5606046517089068,-1.3813702445534466,-0.5323600958736208,1.0847069811093317,-0.7156330092230319,-0.03655752459478726,0.27368286088910027,-0.8754173090875997,1.3348897541573086,1.0804245701326605,0.24315460227777738,-0.19497875907080395,-0.1759655985828749,-0.8657227940176538,1.1376256649139371,0.9608658812779882,1.1747175268891163,-0.7745058500510175,-0.6501509733710464,-1.0112585228609599,-0.4167911106056628,0.9479012773452102,1.4568263811481001,-0.9663640990654133,-0.8179325932213137,-1.0053053470573103,-0.6522684901718034,0.8701844107142322,1.4325794429375693,-1.220356030871529,-0.7917305328852644,-0.9992452005208221,-0.8652624264051378,0.8547121327216926,1.3426787169143184,-0.8653279198957721,-0.7313287203720726,-0.9833160735482653,-0.574300135692057,0.7313287203720724,0.9833160735482652,0.574300135692057,0.3088133183463912,0.9259548006122876,1.274303906627629,0.6953204103278728,2.210780900349016,0.6895623162212672,0.3383596529887055,2.2017154202091955,1.3600912578229145,0.7092171367986926,3.367017701040777,2.400330172580369,0.46246959712788815,3.407880125202857,2.8769427103516634,0.7406235792067598,3.503837714221116,2.500682406604309,0.5282422688023929,3.5328482548836013,2.9649613935369334,0.5717029790120481,3.8658219273618792,1.3980819648807612,0.29392107863377187,3.8679261278014527,1.9873971569773368
right_tricep,-0.09906425261058568,-0.40058247719747087,-1.1947673230291869,-0.07448523113994177,-0.4533458443185746,-1.0917147455050484,-0.058529405933886884,-0.450366222354144,-1.0914908746440133,-0.04372328431165574,-0.4476185842960198,-1.0915086032739592,-0.12105479935077254,-0.45972909015518987,-1.1076735437168117,-0.13767987456039638,-0.46042518142305777,-1.1077157639599116,-0.1542320858968427,-0.4599709495772426,-1.1076415557820611,-0.024740295931579316,-0.4199614522220127,-0.48706020595696586,-0.17792963021946148,-0.4284096856627111,-0.5681083809822651,-0.07043041355625927,-0.33951039107648756,-0.9681005020423116,-0.1323177190060494,-0.3364463583140171,-0.9934617347852326,0.08107638045135776,-0.03468355710670485,-0.06688579985739336,-0.2774458627168488,-0.1969469751318296,-0.46957496814081107,0.11533551738863228,0.4143676584547038,0.15393744589563546,-0.32457712107478937,-0.6870174841912802,-0.7409697167682815,0.12325980106151697,0.8441340070629058,-0.015074592023215812,-0.027384012342045384,-0.7934369089902691,-0.45122220265782254,0.12971733802795418,0.9728948386392836,-0.10916849044290779,0.03415123826246129,-0.7818627716757787,-0.602331001918085,0.11118531250606031,0.9790253721506778,-0.2647213954537128,0.04856622992693039,-0.7730571424735033,-0.5343501322485864,0.10028255225937459,0.9385519332377331,-0.08612998931835097,0.028929790742196863,-0.763586379273788,-0.4473500736243086,-0.028929790742196863,0.763586379273788,0.4473500736243086,-0.24591405604123187,0.7459330307929704,0.16574493773964646,-0.027112192817614168,1.358503481568769,0.6204586793793692,-0.23758176277005902,1.3640553753068867,0.2960951448767987,-0.05058301391738326,1.943873158565148,1.532209598161445,-0.21822353511368905,1.9905013770982432,1.17606395640457,-0.08756615433834938,2.010466507869677,1.5972452341485326,-0.21386404034287987,2.055049985292545,1.232672398175506,0.005524271174479458,2.1759882961817008,0.9783700406321323,-0.18142287972481727,2.2167932011338203,0.5593298793446337
